"filename", "language", "JSON", "Markdown", "JSON with Comments", "Python", "pip requirements", "JavaScript", "TypeScript", "TypeScript JSX", "Ini", "comment", "blank", "total"
"/Users/azarak/projects/intermediate-python/backend/launch.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/azarak/projects/intermediate-python/backend/pytest.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"/Users/azarak/projects/intermediate-python/backend/requirements.txt", "pip requirements", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"/Users/azarak/projects/intermediate-python/backend/tests/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/azarak/projects/intermediate-python/backend/tests/conftest.py", "Python", 0, 0, 0, 48, 0, 0, 0, 0, 0, 10, 18, 76
"/Users/azarak/projects/intermediate-python/backend/tests/test_api/test_user_routes.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/azarak/projects/intermediate-python/backend/tests/test_habits.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/azarak/projects/intermediate-python/backend/tests/test_services/test_habit_service.py", "Python", 0, 0, 0, 38, 0, 0, 0, 0, 0, 16, 14, 68
"/Users/azarak/projects/intermediate-python/backend/tests/test_services/test_user_services.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/azarak/projects/intermediate-python/frontend/mobile/app.json", "JSON with Comments", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
"/Users/azarak/projects/intermediate-python/frontend/mobile/app/(tabs)/HabitsScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 88, 0, 2, 12, 102
"/Users/azarak/projects/intermediate-python/frontend/mobile/app/(tabs)/_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 67, 0, 3, 5, 75
"/Users/azarak/projects/intermediate-python/frontend/mobile/app/(tabs)/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 4, 36
"/Users/azarak/projects/intermediate-python/frontend/mobile/app/(tabs)/three.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 4, 40
"/Users/azarak/projects/intermediate-python/frontend/mobile/app/(tabs)/two.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 4, 32
"/Users/azarak/projects/intermediate-python/frontend/mobile/app/+html.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 10, 5, 39
"/Users/azarak/projects/intermediate-python/frontend/mobile/app/+not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 5, 41
"/Users/azarak/projects/intermediate-python/frontend/mobile/app/_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 48, 0, 4, 12, 64
"/Users/azarak/projects/intermediate-python/frontend/mobile/app/modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 30, 0, 1, 5, 36
"/Users/azarak/projects/intermediate-python/frontend/mobile/babel.config.js", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/Users/azarak/projects/intermediate-python/frontend/mobile/components/EditScreenInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 8, 78
"/Users/azarak/projects/intermediate-python/frontend/mobile/components/ExternalLink.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 3, 2, 26
"/Users/azarak/projects/intermediate-python/frontend/mobile/components/StyledText.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"/Users/azarak/projects/intermediate-python/frontend/mobile/components/Themed.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 31, 0, 4, 11, 46
"/Users/azarak/projects/intermediate-python/frontend/mobile/components/__tests__/StyledText-test.js", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 11
"/Users/azarak/projects/intermediate-python/frontend/mobile/components/useClientOnlyValue.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 1, 5
"/Users/azarak/projects/intermediate-python/frontend/mobile/components/useClientOnlyValue.web.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 3, 13
"/Users/azarak/projects/intermediate-python/frontend/mobile/components/useColorScheme.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/Users/azarak/projects/intermediate-python/frontend/mobile/components/useColorScheme.web.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 5, 1, 9
"/Users/azarak/projects/intermediate-python/frontend/mobile/constants/Colors.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
"/Users/azarak/projects/intermediate-python/frontend/mobile/package-lock.json", "JSON", 14644, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14645
"/Users/azarak/projects/intermediate-python/frontend/mobile/package.json", "JSON", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"/Users/azarak/projects/intermediate-python/frontend/mobile/tsconfig.json", "JSON with Comments", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 17
"/Users/azarak/projects/intermediate-python/package-lock.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/azarak/projects/intermediate-python/package.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"Total", "-", 14711, 73, 54, 357, 8, 14, 33, 515, 5, 120, 250, 16140
